# Deterministic FIPS 202 regression vectors generated by Python hashlib
# name|mode|message_hex (- means empty)|output_bytes|expected_hex (- means empty)
sha3-512_empty|0|-|64|a69f73cca23a9ac5c8b567dc185a756e97c982164fe25859e0d1dcc1475c80a615b2123af1f5f94c11e3e9402c3ac558f500199d95b6d3e301758586281dcd26
sha3-512_abc|0|616263|64|b751850b1a57168a5693cd924b6b096e08f621827444f70d884f5d0240d2712e10e116e9192af3c91a7ec57647e3934057340b4cf408d5a56592f8274eec53f0
sha3-512_rate_minus_1|0|031425364758697a8b9cadbecfe0f102132435465768798a9bacbdcedff00112233445566778899aabbccddeef00112233445566778899aabbccddeeff102132435465768798a9|64|6f0212c59a236855d74333b939bf6b0d5f4112e983a7fe74ef8a5418b73cc013d1cf69b12a72cb3531154da0232b12d2b02b32297c746c1416299f82458a2381
sha3-512_rate_exact|0|031425364758697a8b9cadbecfe0f102132435465768798a9bacbdcedff00112233445566778899aabbccddeef00112233445566778899aabbccddeeff102132435465768798a9ba|64|7ff734e7a035c1a15dd31ab50d64b5ae7315616ea354b36b87680ea04a28392ac3be85dbef6b2bd5cb068004ac08e8690a3d17d74509dae2ead63d26fa56dd53
sha3-512_rate_plus_1|0|031425364758697a8b9cadbecfe0f102132435465768798a9bacbdcedff00112233445566778899aabbccddeef00112233445566778899aabbccddeeff102132435465768798a9bacb|64|3225c917741412c3c6416f2eda1851fb5f3fbdfb543cf465d523da7ab42c2723e1b6a20e1bdff97a26705212b84c62dce63d7a609d71cb16eae513a55771c40b
sha3-512_two_rates_plus_17|0|031425364758697a8b9cadbecfe0f102132435465768798a9bacbdcedff00112233445566778899aabbccddeef00112233445566778899aabbccddeeff102132435465768798a9bacbdcedfe0f2031425364758697a8b9cadbecfd0e1f30415263748596a7b8c9daebfc0d1e2f405162738495a6b7c8d9eafb0c1d2e3f5061728394a5b6c7d8e9fa0b1c2d3e4f60718293a4b5c6d7e8f90a1b2c3d4e5f708192a3|64|2670bc8679fa5b64c8064dc9fdab26a6fade1e4d6778877dda42f959011867a36326321beb3506a5dba4dcdb5c32e96bda7cbd3cd3de0d4bee0822b2ab0c4438
shake256_empty|1|-|32|46b9dd2b0ba88d13233b3feb743eeb243fcd52ea62b81b82b50c27646ed5762f
shake256_abc|1|616263|64|483366601360a8771c6863080cc4114d8db44530f8f1e1ee4f94ea37e78b5739d5a15bef186a5386c75744c0527e1faa9f8726e462a12a4feb06bd8801e751e4
shake256_rate_minus_1|1|031425364758697a8b9cadbecfe0f102132435465768798a9bacbdcedff00112233445566778899aabbccddeef00112233445566778899aabbccddeeff102132435465768798a9bacbdcedfe0f2031425364758697a8b9cadbecfd0e1f30415263748596a7b8c9daebfc0d1e2f405162738495a6b7c8d9eafb0c1d2e3f5061728394a5b6c7d8e9|135|872c7d7192a9d1a5d23b15f25b7f5530684bb1bac638e286681b3c3953a3b97faf76182bd131dfdae1a78c6d47e4b9c9e4be1b4a48e8188c3dcdacfe1431179939b9608e0967ecd0aaabe996b5231299395e58692665bc3f1604fadda2db90dda1b443d9e3025544f8d58c2bf4a918b7933ed2c54c7a0958db0be1648adbab0cac3251c731d2aa
shake256_rate_exact|1|031425364758697a8b9cadbecfe0f102132435465768798a9bacbdcedff00112233445566778899aabbccddeef00112233445566778899aabbccddeeff102132435465768798a9bacbdcedfe0f2031425364758697a8b9cadbecfd0e1f30415263748596a7b8c9daebfc0d1e2f405162738495a6b7c8d9eafb0c1d2e3f5061728394a5b6c7d8e9fa|136|ed4a017052e2d4063658818d54f2a1b8c17afe879363f50437b0592e7319fd8eede65e9de766f3bd0e51adaa2855009fc1b0e7230633290a138a66a8bf791605e6762b34424f9a5b1f05abeb6ab8dac26fa782da6a3f1e6fea6c6ad32ba901f9c8fed822b4fdf53264646559397f45c227366cb834849a51e829d3c180b9485e1174f4b9d31877a1
